"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","WorkflowTest","","Thu Jun 12 12:20:48 IST 2025","broken","Thu Jun 12 12:20:48 IST 2025","","tests.WorkflowTest","tests.WorkflowTest",""
"End-to-End Test: ProfNewRequest → FacilityWorkflow → FinalPayment","125572","testEndToEndWorkflow()","","Thu Jun 19 11:29:05 IST 2025","passed","Thu Jun 19 11:31:11 IST 2025","","tests.WorkflowTest","tests.WorkflowTest","testEndToEndWorkflow"
